City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hobart,AU,73.27,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
1,Butaritari,KI,81.66,broken clouds,3.0707,172.7902,Isles Sunset Lodge
2,East London,ZA,68.94,clear sky,-33.0153,27.9116,Tu Casa
3,Vaini,TO,82.53,light rain,-21.2,-175.2,Keleti Beach Resort
4,Banda Aceh,ID,85.28,scattered clouds,5.5577,95.3222,Sulthan Hotel International
5,New Norfolk,AU,72.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
6,Bluff,NZ,68.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
7,Ambalavao,MG,69.8,clear sky,-21.8333,46.9333,Hôtel Le Tropik
8,Rikitea,PF,77.88,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Mahebourg,MU,85.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
10,Puerto Ayora,EC,73.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Bambous Virieux,MU,85.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
12,Mweka,CD,69.28,overcast clouds,-4.85,21.5667,Guest House Boshab
13,Cooma,AU,65.62,light rain,-36.2333,149.1333,High Country Motel
14,Ahipara,NZ,73.47,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
15,Kapaa,US,75.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Coihaique,CL,63.21,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
17,Hermanus,ZA,65.8,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Hilo,US,73.13,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
19,Mar Del Plata,AR,63.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
20,Monrovia,LR,76.77,moderate rain,6.3005,-10.7969,Sunset Inn
21,Guerrero Negro,MX,64.24,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
22,Diamantino,BR,71.98,moderate rain,-14.4086,-56.4461,Hotel Delta
23,Odweyne,SO,67.96,broken clouds,9.4092,45.064,Eng Hiirey House
24,Minab,IR,71.92,haze,27.1467,57.0801,Bam campground
25,Atuona,PF,77.61,few clouds,-9.8,-139.0333,Villa Enata
26,Port Alfred,ZA,67.35,overcast clouds,-33.5906,26.891,The Halyards Hotel
27,Cape Town,ZA,66.61,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
28,Ankazoabo,MG,79.21,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
29,Yenagoa,NG,74.03,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
30,Airai,TL,73.38,overcast clouds,-8.9266,125.4092,
31,Bathsheba,BB,75.06,few clouds,13.2167,-59.5167,Atlantis Hotel
32,Hithadhoo,MV,81.01,scattered clouds,-0.6,73.0833,Scoop Guest House
33,Panaba,MX,69.73,broken clouds,21.2833,-88.2667,Hotel California
34,Georgetown,MY,91.33,haze,5.4112,100.3354,Cititel Penang
35,Mataura,NZ,68.49,broken clouds,-46.1927,168.8643,Ellie's Villa
36,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
37,Chokwe,MZ,75.42,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
38,Saint-Philippe,RE,83.75,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
39,Luanda,AO,77.0,scattered clouds,-8.8368,13.2343,Hotel Fórum
40,Bengkulu,ID,83.21,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
41,Itaituba,BR,73.15,heavy intensity rain,-4.2761,-55.9836,Hotel Campos
42,Bredasdorp,ZA,65.28,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
43,Vila Do Maio,CV,68.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
44,Mareeba,AU,81.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
