City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,73.27,70,75,1.99,broken clouds
1,Dikson,RU,73.5069,80.5464,1.78,94,100,18.52,overcast clouds
2,Butaritari,KI,3.0707,172.7902,81.66,80,64,17.58,broken clouds
3,Tiksi,RU,71.6872,128.8694,-10.16,99,32,6.49,scattered clouds
4,East London,ZA,-33.0153,27.9116,68.94,83,0,6.91,clear sky
5,Ushuaia,AR,-54.8,-68.3,55.06,67,40,4.61,scattered clouds
6,Vaini,TO,-21.2,-175.2,82.53,79,100,16.08,light rain
7,Banda Aceh,ID,5.5577,95.3222,85.28,70,37,12.64,scattered clouds
8,Lebu,CL,-37.6167,-73.65,57.33,92,5,4.61,clear sky
9,New Norfolk,AU,-42.7826,147.0587,72.91,51,98,1.99,overcast clouds
10,Bluff,NZ,-46.6,168.3333,68.81,70,93,6.17,overcast clouds
11,Khatanga,RU,71.9667,102.5,-7.2,97,100,6.58,overcast clouds
12,Castro,BR,-24.7911,-50.0119,59.05,99,100,8.52,overcast clouds
13,Ambalavao,MG,-21.8333,46.9333,69.8,67,0,0.69,clear sky
14,Rikitea,PF,-23.1203,-134.9692,77.88,74,93,14.0,overcast clouds
15,Pangnirtung,CA,66.1451,-65.7125,-12.48,99,100,3.06,overcast clouds
16,Mahebourg,MU,-20.4081,57.7,85.24,79,75,3.44,broken clouds
17,Upernavik,GL,72.7868,-56.1549,10.51,71,100,3.91,overcast clouds
18,Puerto Ayora,EC,-0.7393,-90.3518,73.54,95,73,6.67,broken clouds
19,Bambous Virieux,MU,-20.3428,57.7575,85.21,79,75,3.44,broken clouds
20,Mweka,CD,-4.85,21.5667,69.28,95,100,2.21,overcast clouds
21,Cooma,AU,-36.2333,149.1333,65.62,95,100,1.66,light rain
22,Ahipara,NZ,-35.1667,173.1667,73.47,55,100,5.75,overcast clouds
23,Kapaa,US,22.0752,-159.319,75.18,77,20,11.5,few clouds
24,Haverfordwest,GB,51.8017,-4.9691,51.55,96,100,13.0,overcast clouds
25,Coihaique,CL,-45.5752,-72.0662,63.21,51,0,0.0,clear sky
26,Hermanus,ZA,-34.4187,19.2345,65.8,78,33,11.54,scattered clouds
27,Colomi,BO,-17.35,-65.8667,53.08,93,97,3.11,overcast clouds
28,Hilo,US,19.7297,-155.09,73.13,78,75,4.61,broken clouds
29,Mar Del Plata,AR,-38.0023,-57.5575,63.09,79,0,1.99,clear sky
30,Broome,US,42.2506,-75.833,13.37,77,100,1.01,overcast clouds
31,Srednekolymsk,RU,67.45,153.6833,-12.12,98,100,2.46,overcast clouds
32,Monrovia,LR,6.3005,-10.7969,76.77,83,61,2.46,moderate rain
33,Guerrero Negro,MX,27.9769,-114.0611,64.24,42,6,2.42,clear sky
34,Diamantino,BR,-14.4086,-56.4461,71.98,97,100,5.14,moderate rain
35,Meadow Lake,US,34.8014,-106.5436,35.11,50,0,4.0,clear sky
36,Navalmoral De La Mata,ES,39.8916,-5.5406,39.97,39,0,6.08,clear sky
37,Pokosnoye,RU,55.5258,101.0536,1.45,90,97,3.71,overcast clouds
38,Dharchula,IN,29.85,80.5333,58.5,26,0,4.72,clear sky
39,Odweyne,SO,9.4092,45.064,67.96,34,53,12.84,broken clouds
40,Provideniya,RU,64.3833,-173.3,-1.12,97,15,3.0,few clouds
41,Nador,MA,35.174,-2.9287,57.45,88,75,13.8,broken clouds
42,Minab,IR,27.1467,57.0801,71.92,73,39,0.0,haze
43,Sayat,TM,38.7839,63.8803,35.47,64,5,5.08,clear sky
44,Talnakh,RU,69.4865,88.3972,-0.8,96,100,10.27,light snow
45,Atuona,PF,-9.8,-139.0333,77.61,78,12,13.2,few clouds
46,Fairbanks,US,64.8378,-147.7164,3.16,58,100,4.61,overcast clouds
47,Bethel,US,41.3712,-73.414,30.04,88,100,1.99,snow
48,Busselton,AU,-33.65,115.3333,100.04,43,95,8.46,overcast clouds
49,Port Alfred,ZA,-33.5906,26.891,67.35,79,92,5.12,overcast clouds
50,Ponta Delgada,PT,37.7333,-25.6667,57.92,77,20,5.75,few clouds
51,Cape Town,ZA,-33.9258,18.4232,66.61,73,0,5.99,clear sky
52,Ankazoabo,MG,-22.2833,44.5167,79.21,63,0,5.17,clear sky
53,Yenagoa,NG,4.9247,6.2642,74.03,92,94,3.56,overcast clouds
54,Cherskiy,RU,68.75,161.3,-12.05,95,100,0.6,overcast clouds
55,Thompson,CA,55.7435,-97.8558,-5.64,77,100,3.44,overcast clouds
56,Airai,TL,-8.9266,125.4092,73.38,59,100,6.08,overcast clouds
57,Punta Arenas,CL,-53.15,-70.9167,57.31,44,0,6.91,clear sky
58,Bathsheba,BB,13.2167,-59.5167,75.06,83,20,8.05,few clouds
59,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,26.46,snow
60,Hithadhoo,MV,-0.6,73.0833,81.01,66,40,6.73,scattered clouds
61,Panaba,MX,21.2833,-88.2667,69.73,68,82,17.92,broken clouds
62,Georgetown,MY,5.4112,100.3354,91.33,73,20,1.01,haze
63,Saskylakh,RU,71.9167,114.0833,-7.38,95,99,5.61,overcast clouds
64,Krasnyy Chikoy,RU,50.3643,108.7512,1.94,90,84,1.14,broken clouds
65,Yellowknife,CA,62.456,-114.3525,-8.59,83,75,5.75,light snow
66,Raudeberg,NO,61.9875,5.1352,44.2,96,100,8.01,moderate rain
67,Mataura,NZ,-46.1927,168.8643,68.49,34,70,6.4,broken clouds
68,Galesong,ID,-5.3166,119.3661,87.82,71,100,7.09,overcast clouds
69,Hofn,IS,64.2539,-15.2082,28.44,54,43,24.4,scattered clouds
70,Chokwe,MZ,-24.5333,32.9833,75.42,82,87,8.79,overcast clouds
71,Saint-Philippe,RE,-21.3585,55.7679,83.75,76,0,7.25,clear sky
72,Luanda,AO,-8.8368,13.2343,77.0,88,40,4.61,scattered clouds
73,Longyearbyen,SJ,78.2186,15.6401,10.24,67,0,16.11,clear sky
74,Bengkulu,ID,-3.8004,102.2655,83.21,68,100,4.36,light rain
75,Albany,US,42.6001,-73.9662,20.26,69,100,3.0,overcast clouds
76,Itaituba,BR,-4.2761,-55.9836,73.15,98,100,1.54,heavy intensity rain
77,Bredasdorp,ZA,-34.5322,20.0403,65.28,94,43,4.61,scattered clouds
78,Kargil,IN,34.5667,76.1,-5.94,83,54,1.19,broken clouds
79,Vila Do Maio,CV,15.1333,-23.2167,68.79,71,100,16.67,overcast clouds
80,Hohhot,CN,40.8106,111.6522,26.89,36,0,4.47,clear sky
81,Mareeba,AU,-17.0,145.4333,81.32,95,100,1.92,overcast clouds
82,Avarua,CK,-21.2078,-159.775,80.65,78,23,6.91,few clouds
83,Sawakin,SD,19.1059,37.3321,67.23,64,100,12.03,overcast clouds
84,Cairns,AU,-16.9167,145.7667,85.95,62,100,10.36,overcast clouds
85,Mahibadhoo,MV,3.7833,72.9667,82.09,64,77,13.8,broken clouds
86,Ilulissat,GL,69.2167,-51.1,23.02,42,100,23.02,overcast clouds
87,Chokurdakh,RU,70.6333,147.9167,-19.08,87,94,3.11,overcast clouds
88,Whitehorse,CA,60.7161,-135.0538,32.77,74,100,11.5,overcast clouds
89,Semporna,MY,4.4818,118.6112,89.8,70,83,4.92,broken clouds
90,Cirie,IT,45.2351,7.5988,48.31,55,0,6.91,clear sky
91,Marinette,US,45.1,-87.6307,12.65,52,40,3.44,scattered clouds
92,Sorong,ID,-0.8833,131.25,81.61,80,88,6.87,overcast clouds
93,Oranjemund,NA,-28.55,16.4333,62.67,92,12,11.1,few clouds
94,Iqaluit,CA,63.7506,-68.5145,-18.31,68,100,15.01,light snow
95,Barrow,US,71.2906,-156.7887,-3.98,77,100,13.8,haze
96,Sayyan,YE,15.1718,44.3244,51.24,25,5,1.7,clear sky
97,Matara,LK,5.9485,80.5353,84.22,64,11,3.71,few clouds
98,Taclobo,PH,12.3074,122.586,81.28,76,49,2.44,scattered clouds
99,Hamilton,US,39.1834,-84.5333,14.52,82,20,9.22,few clouds
100,Pevek,RU,69.7008,170.3133,-11.16,99,100,1.01,overcast clouds
101,Itaguai,BR,-22.8522,-43.7753,74.88,100,75,3.44,mist
102,Narsaq,GL,60.9167,-46.05,21.42,90,100,6.13,snow
103,Sampit,ID,-2.5333,112.95,80.46,76,100,2.13,overcast clouds
104,Nadym,RU,65.5333,72.5167,-7.71,95,75,8.59,broken clouds
105,Nome,US,64.5011,-165.4064,-10.89,70,0,0.0,clear sky
106,Chaupimarca,PE,-10.4333,-76.5333,36.32,92,100,4.12,overcast clouds
107,San Cristobal,VE,7.7669,-72.225,69.98,83,3,2.82,clear sky
108,Adrar,MR,20.5022,-10.0711,70.92,12,100,3.51,overcast clouds
109,Salalah,OM,17.0151,54.0924,75.29,53,20,2.3,few clouds
110,Kavieng,PG,-2.5744,150.7967,83.5,71,100,1.9,light rain
111,Zabol,AF,32.25,67.25,42.06,41,38,2.42,scattered clouds
112,Tual,ID,-5.6667,132.75,84.51,71,97,15.14,overcast clouds
113,Faanui,PF,-16.4833,-151.75,81.03,74,12,13.71,light rain
114,Chicama,PE,-7.8447,-79.1469,64.94,79,93,5.86,overcast clouds
115,Port Hardy,CA,50.6996,-127.4199,45.75,87,100,3.44,overcast clouds
116,Tasiilaq,GL,65.6145,-37.6368,12.36,69,72,5.3,broken clouds
117,Mineiros,BR,-17.5694,-52.5511,68.05,95,100,7.74,overcast clouds
118,Lucapa,AO,-8.4192,20.7447,64.65,88,100,2.64,overcast clouds
119,Qaanaaq,GL,77.484,-69.3632,-13.65,63,62,8.14,broken clouds
120,Benguela,AO,-12.5763,13.4055,76.15,86,98,2.15,overcast clouds
121,Ribeira Grande,PT,38.5167,-28.7,58.35,62,36,9.22,scattered clouds
122,Dingle,PH,10.9995,122.6711,87.13,64,77,4.97,broken clouds
123,Killybegs,IE,54.6333,-8.45,52.45,91,62,31.72,broken clouds
124,Kruisfontein,ZA,-34.0033,24.7314,64.89,80,97,3.13,overcast clouds
125,Severo-Kurilsk,RU,50.6789,156.125,23.02,73,100,23.76,overcast clouds
126,Manaus,BR,-3.1019,-60.025,77.49,94,0,3.44,light rain
127,Donskoye,RU,45.4552,41.9741,33.93,76,100,6.04,light snow
128,Miyang,CN,24.4042,103.4428,64.08,35,1,12.71,clear sky
129,College,US,64.8569,-147.8028,3.15,57,75,9.22,broken clouds
130,Irituia,BR,-1.7711,-47.4381,71.4,99,100,1.95,overcast clouds
131,Cidreira,BR,-30.1811,-50.2056,69.28,75,29,12.24,scattered clouds
132,Tsiroanomandidy,MG,-18.7667,46.0333,72.09,79,34,2.48,scattered clouds
133,Tabuk,PH,17.4189,121.4443,80.19,79,100,2.19,overcast clouds
134,Ivanivka,UA,46.7208,34.553,30.11,95,79,9.84,broken clouds
135,Dunedin,NZ,-45.8742,170.5036,68.81,60,100,1.01,overcast clouds
136,Verkhoyansk,RU,67.5447,133.385,-25.94,99,98,2.51,overcast clouds
137,Olafsvik,IS,64.8945,-23.7142,26.87,59,21,15.46,few clouds
138,Korla,CN,41.7597,86.1469,26.46,51,2,6.02,clear sky
139,Harrai,IN,22.6167,79.2167,65.35,25,0,3.6,clear sky
140,Vanimo,PG,-2.6741,141.3028,83.71,73,87,7.27,overcast clouds
141,San Quintin,MX,30.4833,-115.95,59.11,51,21,2.55,few clouds
142,Jamestown,US,42.097,-79.2353,11.52,85,100,11.5,overcast clouds
143,Dhari,IN,21.3333,71.0167,71.6,22,31,8.41,scattered clouds
144,Alibag,IN,18.6411,72.8792,80.67,34,41,7.0,scattered clouds
145,Mnogovershinnyy,RU,53.9353,139.9242,-6.07,75,4,5.19,clear sky
146,Thinadhoo,MV,0.5333,72.9333,80.74,67,67,8.59,broken clouds
147,Novokruchininskiy,RU,51.7833,113.7667,-6.07,73,22,3.87,few clouds
148,Naze,JP,28.3667,129.4833,56.32,84,100,8.79,overcast clouds
149,Lufilufi,WS,-13.8745,-171.5986,83.98,74,18,17.31,light rain
150,Yerazgavors,AM,40.7,43.75,-5.03,71,93,0.0,overcast clouds
151,Sinj,HR,43.7036,16.6394,39.09,66,26,5.19,scattered clouds
152,Kambove,CD,-10.8764,26.5969,61.5,96,96,2.17,overcast clouds
153,Aripuana,BR,-9.1667,-60.6333,72.05,99,100,3.4,light rain
154,Merauke,ID,-8.4667,140.3333,86.02,66,100,8.88,overcast clouds
155,Nongstoin,IN,25.5167,91.2667,57.61,39,0,2.42,clear sky
156,Bam,IR,29.106,58.357,51.67,31,33,3.2,scattered clouds
157,Dabakala,CI,8.3667,-4.4333,71.37,45,14,2.37,few clouds
158,Luderitz,NA,-26.6481,15.1594,66.15,75,0,19.73,clear sky
159,Serenje,ZM,-13.2325,30.2352,62.87,97,100,2.59,light rain
160,Coquimbo,CL,-29.9533,-71.3436,60.53,88,0,3.44,clear sky
161,Luhyny,UA,51.082,28.4006,26.92,90,99,16.8,overcast clouds
162,Kaitangata,NZ,-46.2817,169.8464,63.93,72,99,8.28,overcast clouds
163,Touros,BR,-5.1989,-35.4608,70.7,84,100,7.34,heavy intensity rain
164,Nikolskoye,RU,59.7035,30.7861,24.69,98,95,4.72,overcast clouds
165,Ubud,ID,-8.5098,115.2654,85.32,67,99,3.65,overcast clouds
166,Nabire,ID,-3.3667,135.4833,84.97,68,97,6.42,overcast clouds
167,Nanortalik,GL,60.1432,-45.2371,27.03,81,100,13.06,light snow
168,Stokmarknes,NO,68.5646,14.9108,29.5,68,97,8.37,overcast clouds
