City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,-42.7826,147.0587,64.92,63,97,3.0,AU,2022-01-28 22:09:12
1,Busselton,-33.65,115.3333,65.05,64,11,7.7,AU,2022-01-28 22:12:14
2,Puerto Ayora,-0.7393,-90.3518,80.56,76,66,9.66,EC,2022-01-28 22:14:12
3,Yellowknife,62.456,-114.3525,0.41,96,100,7.85,CA,2022-01-28 22:14:12
4,Punta Arenas,-53.15,-70.9167,71.71,20,0,13.8,CL,2022-01-28 22:13:51
5,Pance,15.6885,120.6201,73.44,90,93,0.51,PH,2022-01-28 22:14:12
6,Cidreira,-30.1811,-50.2056,71.91,63,70,12.44,BR,2022-01-28 22:14:13
7,Oktyabrskiy,54.4815,53.471,6.31,97,100,2.24,RU,2022-01-28 22:14:13
8,Albany,42.6001,-73.9662,30.15,75,100,6.44,US,2022-01-28 22:10:30
9,Mitu,1.1983,-70.1733,81.97,55,72,2.33,CO,2022-01-28 22:10:01
10,Rikitea,-23.1203,-134.9692,78.06,70,100,15.64,PF,2022-01-28 22:14:14
11,Huarmey,-10.0681,-78.1522,72.19,79,100,8.95,PE,2022-01-28 22:14:14
12,Atuona,-9.8,-139.0333,77.79,71,11,15.17,PF,2022-01-28 22:10:26
13,Hami,42.8,93.45,21.09,52,0,4.94,CN,2022-01-28 22:14:15
14,Paamiut,61.994,-49.6678,23.59,87,100,25.1,GL,2022-01-28 22:14:15
15,Butaritari,3.0707,172.7902,81.93,79,64,17.74,KI,2022-01-28 22:10:30
16,Caceres,39.522,-6.3748,44.8,41,0,7.65,ES,2022-01-28 22:14:16
17,Mataura,-46.1927,168.8643,65.48,45,96,3.96,NZ,2022-01-28 22:14:16
18,Yaan,7.3833,8.5667,82.36,18,99,7.78,NG,2022-01-28 22:14:17
19,Abha,18.2164,42.5053,50.25,87,0,0.0,SA,2022-01-28 22:14:17
20,La Asuncion,11.0333,-63.8628,77.16,78,1,13.69,VE,2022-01-28 22:14:17
21,Lebu,-37.6167,-73.65,64.38,77,2,5.73,CL,2022-01-28 22:14:18
22,Hithadhoo,-0.6,73.0833,80.31,63,50,5.99,MV,2022-01-28 22:14:18
23,Bouca,6.5105,18.2733,73.38,22,26,4.7,CF,2022-01-28 22:14:18
24,Zhigansk,66.7697,123.3711,-11.45,96,90,17.18,RU,2022-01-28 22:14:19
25,Dubrovnik,42.6481,18.0922,46.04,36,0,9.22,HR,2022-01-28 22:14:19
26,Mahebourg,-20.4081,57.7,77.25,82,20,9.44,MU,2022-01-28 22:13:14
27,Bandarbeyla,9.4942,50.8122,74.37,76,64,20.09,SO,2022-01-28 22:14:20
28,Avarua,-21.2078,-159.775,82.45,74,20,12.66,CK,2022-01-28 22:11:06
29,Kapaa,22.0752,-159.319,80.11,66,0,1.01,US,2022-01-28 22:13:28
30,Kununurra,-15.7667,128.7333,78.78,94,100,6.91,AU,2022-01-28 22:14:20
31,Carahue,-38.7,-73.1667,71.8,53,0,8.48,CL,2022-01-28 22:14:21
32,Talnakh,69.4865,88.3972,1.2,93,100,12.21,RU,2022-01-28 22:14:21
33,Narsaq,60.9167,-46.05,19.62,95,100,7.52,GL,2022-01-28 22:11:41
34,Saskylakh,71.9167,114.0833,-0.04,90,100,6.08,RU,2022-01-28 22:14:22
35,Grindavik,63.8424,-22.4338,25.27,74,100,24.16,IS,2022-01-28 22:13:26
36,Bardiyah,31.7561,25.0865,53.13,79,29,11.03,LY,2022-01-28 22:13:13
37,Tolbazy,54.0241,55.8825,0.36,97,98,1.72,RU,2022-01-28 22:14:23
38,Atar,20.5169,-13.0499,72.82,21,100,6.62,MR,2022-01-28 22:14:23
39,Manacapuru,-3.2997,-60.6206,79.38,90,100,0.92,BR,2022-01-28 22:14:23
40,Vaini,-21.2,-175.2,82.38,79,98,19.19,TO,2022-01-28 22:14:24
41,Arraial Do Cabo,-22.9661,-42.0278,77.47,89,96,10.22,BR,2022-01-28 22:14:24
42,Bluff,-46.6,168.3333,58.17,69,92,6.13,NZ,2022-01-28 22:14:25
